threshold,pixel_iou_all,pixel_dice_all,pixel_iou_anomaly_only,pixel_dice_anomaly_only
0.01,0.0011290818290364646,0.0020878740259720903,0.010185258999433107,0.0188343636092899
0.02,0.0011290818290364646,0.0020878740259720903,0.010185258999433107,0.0188343636092899
0.03,0.0011290818290364646,0.0020878740259720903,0.010185258999433107,0.0188343636092899
0.04,0.0011290818290364646,0.0020878740259720903,0.010185258999433107,0.0188343636092899
0.05,0.0011290818290364646,0.0020878740259720903,0.010185258999433107,0.0188343636092899
0.06,0.0011290818290364646,0.0020878740259720903,0.010185258999433107,0.0188343636092899
0.07,0.0011290818290364646,0.0020878740259720903,0.010185258999433107,0.0188343636092899
0.08,0.0011290818290364646,0.0020878740259720903,0.010185258999433107,0.0188343636092899
0.09,0.0011290818290364646,0.0020878740259720903,0.010185258999433107,0.0188343636092899
0.1,0.0011290818290364646,0.0020878740259720903,0.010185258999433107,0.0188343636092899
0.11,0.0011290818290364646,0.0020878740259720903,0.010185258999433107,0.0188343636092899
0.12,0.0011290818290364646,0.0020878740259720903,0.010185258999433107,0.0188343636092899
0.13,0.0011290818290364646,0.0020878740259720903,0.010185258999433107,0.0188343636092899
0.14,0.0011290818290364646,0.0020878740259720903,0.010185258999433107,0.0188343636092899
0.15,0.0011290818290364646,0.0020878740259720903,0.010185258999433107,0.0188343636092899
0.16,0.0011290818290364646,0.0020878740259720903,0.010185258999433107,0.0188343636092899
0.17,0.0011290818290364646,0.0020878740259720903,0.010185258999433107,0.0188343636092899
0.18,0.0011290818290364646,0.0020878740259720903,0.010185258999433107,0.0188343636092899
0.19,0.0011290818290364646,0.0020878740259720903,0.010185258999433107,0.0188343636092899
0.2,0.0011290818290364646,0.0020878740259720903,0.010185258999433107,0.0188343636092899
0.21,0.0011290818290364646,0.0020878740259720903,0.010185258999433107,0.0188343636092899
0.22,0.0011290826822632194,0.002087875721467517,0.010185266696249458,0.018834378904071563
0.23,0.0011290870987903253,0.002087884500815846,0.010185306537004392,0.01883445810110961
0.24,0.0011291101945966916,0.002087930393696862,0.01018551488042432,0.018834872093140442
0.25,0.0011291447890823929,0.002087999144860105,0.010185826951514085,0.01883549228592553
0.26,0.0011293561522107902,0.002088408123255544,0.010187733623068167,0.01883918161186772
0.27,0.0011321136028202533,0.002092941957063796,0.010212608125441034,0.018880080571012998
0.28,0.0011424283445187536,0.0021099255066039484,0.01030565569117959,0.019033286340823116
0.29,0.0011768733072125368,0.00216914643837445,0.010616377958813091,0.01956750849616952
0.3,0.0012502446364629268,0.0022910944346587916,0.011278248491425984,0.020667581045984516
0.31,0.0014460462814143695,0.0026028153879764006,0.013044542496925458,0.02347956381237045
0.32,0.0016662137014324546,0.0029347570822879014,0.015030636098338601,0.026473954513138775
0.33,0.002047702062400335,0.0035631784135239522,0.018471979021236356,0.032142838605330654
0.34,0.005634251422019837,0.007475322151290632,0.02304786525835952,0.0396558574619898
0.35,0.04139012445774346,0.043405799478370984,0.026151192157005256,0.04433426057224934
0.36,0.08482613993354167,0.0868969562347695,0.029091359539379285,0.04777184825670547
0.37,0.12813311901700883,0.12992195398767253,0.02392306668815615,0.040059848819351714
0.38,0.2120487893378155,0.21375802339679814,0.023967898262654753,0.039386613836394274
0.39,0.45215496815779893,0.4537876076700812,0.023259053034589205,0.03798682196830275
0.4,0.6036747434742671,0.6051909441389277,0.022038137313006436,0.03571553080879934
0.41,0.7034993693082782,0.7048630387991581,0.019761671746204384,0.032063106945183106
0.42,0.7610637791685647,0.7622668752300141,0.01820728569420519,0.0290602147485306
0.43,0.7738365952569752,0.7748599953149249,0.015373175269520013,0.024605096625607656
0.44,0.7790657064020501,0.7799223020753264,0.013933004279604064,0.021660211082284574
0.45,0.7875334907718818,0.7883224183999868,0.013930586893573202,0.021047371538769746
0.46,0.7922205071403954,0.7929929729845397,0.014544713717873211,0.021512999353590703
0.47,0.7952116406762156,0.795901173821281,0.013749453044472025,0.019969616623917146
0.48,0.7996082437096439,0.8001875370866509,0.011743809575191206,0.016969518580273568
0.49,0.8009206694698991,0.8014010323438027,0.009694094731938035,0.014027368156941935
0.5,0.800723544685019,0.8011790428934478,0.007915864901666405,0.012024838323532914
